altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed,time
41.126028769441106,-1,-1,35.65949942623224,5.703169577546575,-1,39.94504773790659,30,139.7962970244071,-1,1729477006317556
41.12599825186298,-1,-1,35.65935330341119,1.806914084382515,-1,613.0268023199864,30.02330050628517,139.79623234131336,-1,1729477018299460
41.03233794256603,-1,-1,35.659199588988336,5.609478750671499,-1,34.94378869396802,30,139.7963081671189,-1,1729477019268147
59.70950644820738,0.4733012020587921,21.433459757032903,35.65952053134101,24.286647256312847,301.9133492404565,30.783784062840425,26.712923049926758,139.79601944759995,1.125438928604126,1729477021560693
40.358334251466346,0.354015052318573,31.84483492964653,35.659354675103415,4.935475059571814,301.9133492404565,20.05084186522098,3,139.79612056446604,1.125438928604126,1729477022560676
40.13037178070834,0.2675177752971649,16.001046602548453,35.65929685099199,4.707512588813806,301.9133492404565,13.865377589826034,3,139.79615021823756,0.7391637563705444,1729477023994652
39.98451656946171,0.2574162781238556,9.999999709092931,35.65922061956109,4.56165737756718,301.9133492404565,8.855827664622316,3,139.7962039357771,0.7337586283683777,1729477024994635
39.909402074017116,0.24321360886096954,9.999999709092931,35.65920509995676,4.486542882122585,301.9133492404565,7.308521234665929,3,139.7962104618447,0.7416660189628601,1729477025994618
40.07364148541971,0.24512165784835815,9.999999709092931,35.65919455940339,4.650782293525175,301.9133492404565,5.960320795058653,3,139.79621841235675,0.7602323293685913,1729477026994600
40.207283850936115,0.230589359998703,14.207006063264453,35.65920229603701,4.7844246590415835,301.9133492404565,5.318698461984194,3,139.79622329030212,0.7416660189628601,1729477027999739
40.15603749702385,0.2725051939487457,9.999999709092931,35.659210938102284,4.7331783051293215,301.9133492404565,4.854340664081689,3,139.79623075022266,0.7265558838844299,1729477028999753
40.23975799973343,0.23304644227027893,9.999999709092931,35.659217871995686,4.816898807838896,301.9133492404565,4.402405404142112,3,139.79623654156592,0.7488401532173157,1729477029999737
40.18599337388055,0.22585274279117584,10.468667653145342,35.659225944635565,4.763134181986018,301.9133492404565,4.1651169286136955,3,139.79624059126482,0.7488401532173157,1729477030999748
40.21966549540099,0.24765978753566742,180,35.65923236436888,4.796806303506457,301.9133492404565,3.996936977570072,3,139.796246209477,0.13048745691776276,1729477031999761
40.19866726950032,0.265139102935791,180,35.65923526051685,4.775808077605788,301.9133492404565,4.021325105846072,3,139.79625035665958,0.038523416966199875,1729477032999741
