z,y,x,time
-0.8011322021484375,-0.5754547119140625,-0.235992431640625,1727699085006632
-0.8117828369140625,-0.567779541015625,-0.2408905029296875,1727699085016634
-0.8176116943359375,-0.5548553466796875,-0.233551025390625,1727699085026637
-0.83172607421875,-0.5507659912109375,-0.2159423828125,1727699085036640
-0.8214874267578125,-0.5353851318359375,-0.1977996826171875,1727699085046643
-0.8131561279296875,-0.538330078125,-0.20989990234375,1727699085056646
-0.8065948486328125,-0.5327301025390625,-0.225128173828125,1727699085066648
-0.7910919189453125,-0.5196533203125,-0.2328643798828125,1727699085076651
-0.7772979736328125,-0.506927490234375,-0.2423248291015625,1727699085086654
-0.7558441162109375,-0.4952392578125,-0.2517242431640625,1727699085096657
-0.7440185546875,-0.4846954345703125,-0.2536163330078125,1727699085106659
-0.78363037109375,-0.49041748046875,-0.238525390625,1727699085116662
-0.8196563720703125,-0.503814697265625,-0.2252197265625,1727699085126665
-0.84918212890625,-0.5110015869140625,-0.200836181640625,1727699085136668
-0.8593292236328125,-0.5020904541015625,-0.1776885986328125,1727699085146671
-0.8494873046875,-0.4841766357421875,-0.15875244140625,1727699085156673
-0.82232666015625,-0.4755859375,-0.1538543701171875,1727699085166676
-0.7898406982421875,-0.482025146484375,-0.1663055419921875,1727699085176679
-0.7719268798828125,-0.5055389404296875,-0.182281494140625,1727699085186682
-0.770172119140625,-0.5265045166015625,-0.190277099609375,1727699085196685
-0.81158447265625,-0.5326385498046875,-0.185760498046875,1727699085206687
-0.882659912109375,-0.53216552734375,-0.1773681640625,1727699085216690
-0.92022705078125,-0.527618408203125,-0.171051025390625,1727699085226693
-0.93768310546875,-0.51470947265625,-0.164093017578125,1727699085236696
-0.945892333984375,-0.505615234375,-0.148101806640625,1727699085246698
-0.9317779541015625,-0.4990692138671875,-0.1324005126953125,1727699085256701
-0.8984832763671875,-0.49786376953125,-0.116424560546875,1727699085266704
-0.8658599853515625,-0.5039825439453125,-0.110137939453125,1727699085276707
-0.8498687744140625,-0.514129638671875,-0.108551025390625,1727699085286710
-0.8465118408203125,-0.5214691162109375,-0.1102294921875,1727699085296712
-0.8413848876953125,-0.5241241455078125,-0.1096649169921875,1727699085306715
-0.8270263671875,-0.5247955322265625,-0.1067352294921875,1727699085316718
-0.8047332763671875,-0.528900146484375,-0.1030120849609375,1727699085326721
-0.7772216796875,-0.53839111328125,-0.095184326171875,1727699085336724
-0.7530059814453125,-0.5436248779296875,-0.085540771484375,1727699085346726
-0.7474212646484375,-0.543304443359375,-0.069488525390625,1727699085356729
-0.7655487060546875,-0.54364013671875,-0.0549163818359375,1727699085366732
-0.7965850830078125,-0.545501708984375,-0.0538177490234375,1727699085376735
-0.823883056640625,-0.545989990234375,-0.06103515625,1727699085386738
-0.8456268310546875,-0.5417022705078125,-0.0673370361328125,1727699085396740
-0.858795166015625,-0.535888671875,-0.0744476318359375,1727699085406743
-0.856903076171875,-0.532562255859375,-0.086822509765625,1727699085416746
-0.850616455078125,-0.534759521484375,-0.09844970703125,1727699085426749
-0.8392333984375,-0.5380401611328125,-0.1034088134765625,1727699085436752
-0.8238067626953125,-0.54119873046875,-0.10455322265625,1727699085446754
-0.8080291748046875,-0.5457763671875,-0.0970916748046875,1727699085456757
-0.8092498779296875,-0.5506439208984375,-0.0897674560546875,1727699085466760
-0.8166046142578125,-0.5546417236328125,-0.0841827392578125,1727699085476763
-0.81689453125,-0.5587005615234375,-0.0812530517578125,1727699085486766
-0.8120574951171875,-0.5577239990234375,-0.0765228271484375,1727699085496768
-0.8011932373046875,-0.557647705078125,-0.0738372802734375,1727699085506771
-0.7906646728515625,-0.5605621337890625,-0.0739593505859375,1727699085516774
-0.7765655517578125,-0.5643310546875,-0.0735931396484375,1727699085526777
-0.75933837890625,-0.56988525390625,-0.0757293701171875,1727699085536780
-0.74517822265625,-0.571685791015625,-0.07720947265625,1727699085546782
-0.746551513671875,-0.5714263916015625,-0.077423095703125,1727699085556785
-0.7588043212890625,-0.567413330078125,-0.0773468017578125,1727699085566788
-0.7779388427734375,-0.5631561279296875,-0.08013916015625,1727699085576791
-0.803070068359375,-0.558990478515625,-0.08270263671875,1727699085586794
-0.8271026611328125,-0.5573883056640625,-0.0798492431640625,1727699085596796
-0.84503173828125,-0.5536346435546875,-0.0789947509765625,1727699085606799
-0.8567352294921875,-0.552398681640625,-0.077362060546875,1727699085616802
-0.8641357421875,-0.5504913330078125,-0.0794830322265625,1727699085626805
-0.869140625,-0.546905517578125,-0.0817718505859375,1727699085636808
-0.869140625,-0.545135498046875,-0.083526611328125,1727699085646810
-0.864105224609375,-0.5442047119140625,-0.084320068359375,1727699085656813
-0.8596343994140625,-0.547607421875,-0.086517333984375,1727699085666816
-0.8642578125,-0.549346923828125,-0.089874267578125,1727699085676819
-0.8735809326171875,-0.543182373046875,-0.09320068359375,1727699085686822
-0.879302978515625,-0.538360595703125,-0.093170166015625,1727699085696824
-0.8699493408203125,-0.547332763671875,-0.0962066650390625,1727699085706827
-0.84161376953125,-0.562530517578125,-0.0974273681640625,1727699085716830
-0.8147125244140625,-0.5740203857421875,-0.095703125,1727699085726833
-0.8026123046875,-0.5770111083984375,-0.085540771484375,1727699085736836
-0.807891845703125,-0.5734710693359375,-0.07672119140625,1727699085746838
-0.8188018798828125,-0.5654144287109375,-0.0751495361328125,1727699085756841
-0.833526611328125,-0.55670166015625,-0.0783538818359375,1727699085766844
-0.8450775146484375,-0.5619049072265625,-0.0964202880859375,1727699085776847
-0.849456787109375,-0.582183837890625,-0.1253204345703125,1727699085786850
-0.839263916015625,-0.60662841796875,-0.15240478515625,1727699085796852
-0.814208984375,-0.629791259765625,-0.1682891845703125,1727699085806855
-0.790771484375,-0.6502532958984375,-0.1674346923828125,1727699085816858
-0.771453857421875,-0.660308837890625,-0.1501617431640625,1727699085826861
-0.7395477294921875,-0.6626739501953125,-0.1364898681640625,1727699085836864
-0.7017669677734375,-0.6673583984375,-0.1267547607421875,1727699085846867
-0.6620025634765625,-0.6744842529296875,-0.1222381591796875,1727699085856869
-0.6187744140625,-0.674957275390625,-0.12890625,1727699085866872
-0.5845489501953125,-0.6693572998046875,-0.12738037109375,1727699085876875
-0.5608062744140625,-0.6568603515625,-0.115753173828125,1727699085886878
-0.54217529296875,-0.6513519287109375,-0.0967559814453125,1727699085896881
