dBFS,time
-26.29296112060547,1729477515758000
-28.305908203125,1729477515867000
-28.009639739990234,1729477515968000
-21.842939376831055,1729477516068000
-23.987253189086914,1729477516168000
-24.684520721435547,1729477516268000
-24.74258041381836,1729477516369000
-26.275623321533203,1729477516469000
-23.389047622680664,1729477516569000
-22.125717163085938,1729477516671000
-22.15843963623047,1729477516785000
-23.095233917236328,1729477516886000
-21.02383804321289,1729477516985999
-21.023056030273438,1729477517103000
-17.09041976928711,1729477517203000
-16.047733306884766,1729477517303000
-17.580177307128906,1729477517403000
-19.24114227294922,1729477517503000
-17.403162002563477,1729477517603000
-17.930072784423828,1729477517720000
-19.404647827148438,1729477517820000
-20.36936378479004,1729477517920000
-18.597442626953125,1729477518036000
-14.855903625488281,1729477518136000
-17.269519805908203,1729477518236000
-20.089427947998047,1729477518337000
-20.888174057006836,1729477518437000
-19.2156982421875,1729477518537000
-21.068620681762695,1729477518657000
-22.379558563232422,1729477518769999
-20.670804977416992,1729477518870000
-19.706859588623047,1729477518971000
-17.65945053100586,1729477519071000
-19.32143211364746,1729477519187000
-20.36970329284668,1729477519288000
-22.264890670776367,1729477519388000
-21.325428009033203,1729477519488000
-18.78437614440918,1729477519588000
-19.73757553100586,1729477519688000
-20.616413116455078,1729477519788000
-18.70570945739746,1729477519888000
-18.190074920654297,1729477519988000
-19.432645797729492,1729477520088000
-17.783550262451172,1729477520188000
-18.7386417388916,1729477520288000
-19.865385055541992,1729477520388000
-18.766664505004883,1729477520489000
-19.736557006835938,1729477520589000
-17.10797882080078,1729477520689000
-19.372697830200195,1729477520789000
-18.033740997314453,1729477520889000
-19.4543514251709,1729477520989000
-18.783231735229492,1729477521089000
-16.84994888305664,1729477521189000
-18.192182540893555,1729477521289000
-20.386701583862305,1729477521389000
-21.225648880004883,1729477521489000
-18.09766387939453,1729477521589000
-16.13322639465332,1729477521689000
-18.377580642700195,1729477521790000
-19.719758987426758,1729477521889999
-17.43375587463379,1729477521990000
-18.57080841064453,1729477522089999
-19.914180755615234,1729477522190000
-19.599369049072266,1729477522289999
-20.172353744506836,1729477522390000
-19.75898551940918,1729477522489999
-19.739320755004883,1729477522590000
-20.31283187866211,1729477522689999
-19.343324661254883,1729477522790000
-18.69887924194336,1729477522891000
-19.817337036132812,1729477522991000
-17.519405364990234,1729477523091000
-18.802278518676758,1729477523191000
-16.528236389160156,1729477523289999
-17.937273025512695,1729477523390000
-15.494612693786621,1729477523489999
-14.829314231872559,1729477523591000
-17.165206909179688,1729477523691000
-18.631752014160156,1729477523791000
-18.033506393432617,1729477523891000
-19.388452529907227,1729477523991000
-17.832609176635742,1729477524091000
-18.34859275817871,1729477524192000
-13.913431167602539,1729477524292000
-15.02637767791748,1729477524391000
-16.949466705322266,1729477524492000
-17.35593605041504,1729477524592000
-16.694520950317383,1729477524692000
-18.655746459960938,1729477524792000
-17.288875579833984,1729477524892000
-19.047143936157227,1729477524992000
-17.798118591308594,1729477525092000
-17.802011489868164,1729477525192000
-17.961380004882812,1729477525292000
-18.26818084716797,1729477525392000
-17.443422317504883,1729477525492000
-19.42057228088379,1729477525593000
-18.35352325439453,1729477525693000
-19.01801872253418,1729477525793000
-19.92346954345703,1729477525893000
-17.928142547607422,1729477525993000
-19.67013168334961,1729477526093000
-16.469099044799805,1729477526193000
-18.707935333251953,1729477526293000
-19.04395294189453,1729477526393000
-20.20124626159668,1729477526493000
-17.895030975341797,1729477526593000
-18.72504997253418,1729477526693000
-19.883474349975586,1729477526793000
-19.672996520996094,1729477526893000
-20.914447784423828,1729477526993000
-15.815183639526367,1729477527094000
-17.84139060974121,1729477527193999
-18.73862075805664,1729477527294000
-19.523162841796875,1729477527393999
-20.844112396240234,1729477527494000
-17.80144500732422,1729477527611000
-18.167110443115234,1729477527713999
-19.046937942504883,1729477527828000
-19.098939895629883,1729477527928000
-19.851947784423828,1729477528028000
-21.908830642700195,1729477528128000
-22.03036880493164,1729477528228000
-19.71930694580078,1729477528345000
-21.369535446166992,1729477528445000
-19.18863296508789,1729477528545000
-13.877974510192871,1729477528645000
