dBFS,time
-31.64111328125,1729477189995000
-33.20338439941406,1729477190109000
-32.11061096191406,1729477190209999
-32.191471099853516,1729477190310000
-28.531814575195312,1729477190409999
-28.042997360229492,1729477190511000
-24.907907485961914,1729477190611000
-28.076494216918945,1729477190711000
-23.0943546295166,1729477190809999
-24.70233726501465,1729477190913000
-22.346006393432617,1729477191027000
-14.963849067687988,1729477191128000
-18.101741790771484,1729477191228000
-21.725675582885742,1729477191328000
-24.40593719482422,1729477191445000
-24.67098617553711,1729477191545000
-21.944576263427734,1729477191645000
-22.266143798828125,1729477191745000
-17.478233337402344,1729477191845000
-20.015987396240234,1729477191951000
-23.239688873291016,1729477192062000
-21.57925033569336,1729477192161999
-22.232990264892578,1729477192262000
-14.139178276062012,1729477192363000
-13.406445503234863,1729477192462000
-13.563521385192871,1729477192579000
-16.561866760253906,1729477192679000
-15.31759262084961,1729477192779000
-17.912551879882812,1729477192879000
-19.909534454345703,1729477192998000
-18.262723922729492,1729477193113000
-12.014310836791992,1729477193213000
-10.236381530761719,1729477193313000
-12.645142555236816,1729477193413000
-15.617026329040527,1729477193513000
-17.169544219970703,1729477193613000
-13.691628456115723,1729477193713000
-11.136693000793457,1729477193813000
-13.45916748046875,1729477193913000
-12.570331573486328,1729477194017999
-15.130516052246094,1729477194129999
-19.230300903320312,1729477194247000
-20.796730041503906,1729477194347000
-21.955297470092773,1729477194447000
-24.347688674926758,1729477194547000
-21.857789993286133,1729477194664000
-23.151763916015625,1729477194764000
-24.79553985595703,1729477194864000
-14.97788143157959,1729477194981000
-14.207027435302734,1729477195081000
-16.51548194885254,1729477195181000
-19.980066299438477,1729477195281999
-11.228751182556152,1729477195381000
-14.735846519470215,1729477195497999
-14.772895812988281,1729477195598000
-12.050434112548828,1729477195715000
-14.482906341552734,1729477195814000
-16.82546615600586,1729477195915000
-20.050827026367188,1729477196015000
-17.960742950439453,1729477196115000
-19.111181259155273,1729477196215000
-21.71369743347168,1729477196332000
-17.85027313232422,1729477196432000
-16.632654190063477,1729477196532000
-16.7657470703125,1729477196632000
-18.58498764038086,1729477196733000
-18.152759552001953,1729477196849000
-18.180130004882812,1729477196949000
-14.233633995056152,1729477197065999
-8.073241233825684,1729477197166000
-11.06625747680664,1729477197265999
-13.323884010314941,1729477197366000
-9.025001525878906,1729477197465999
-11.806279182434082,1729477197566000
-9.110760688781738,1729477197665999
-9.588822364807129,1729477197766000
-11.62183952331543,1729477197867000
-13.598474502563477,1729477197967000
-15.694597244262695,1729477198065999
-17.103796005249023,1729477198167000
-19.08533477783203,1729477198267000
-19.40320587158203,1729477198367000
-18.250202178955078,1729477198467000
-20.1021728515625,1729477198567000
-16.432693481445312,1729477198667000
-18.779138565063477,1729477198767000
-19.434280395507812,1729477198867000
-20.826274871826172,1729477198967000
-20.31587791442871,1729477199084000
-23.415874481201172,1729477199191000
-25.827478408813477,1729477199301000
-20.90452003479004,1729477199401000
-18.457061767578125,1729477199501000
-20.564281463623047,1729477199601000
-22.646299362182617,1729477199701000
-17.949045181274414,1729477199801000
-19.949790954589844,1729477199901000
-14.236884117126465,1729477200001000
-17.192121505737305,1729477200101000
-18.943937301635742,1729477200201000
-13.337467193603516,1729477200301000
-16.404247283935547,1729477200401999
-15.554160118103027,1729477200502000
-18.124937057495117,1729477200601999
-19.733823776245117,1729477200702000
-22.277507781982422,1729477200803000
-22.81447410583496,1729477200904000
-24.558025360107422,1729477201019000
-27.21623992919922,1729477201119000
-28.07196617126465,1729477201219000
-28.636964797973633,1729477201319000
-25.289318084716797,1729477201436000
-27.0466251373291,1729477201536000
-26.49505615234375,1729477201636000
-24.52250099182129,1729477201736000
-24.840843200683594,1729477201836000
