dBFS,time
-31.02659034729004,1729477163286000
-31.89984703063965,1729477163393000
-26.570323944091797,1729477163494000
-28.093244552612305,1729477163593999
-29.9962215423584,1729477163694000
-31.05393409729004,1729477163793999
-25.21865463256836,1729477163894000
-24.0042667388916,1729477164011000
-26.969594955444336,1729477164111000
-29.6820011138916,1729477164224000
-30.275814056396484,1729477164328000
-26.413291931152344,1729477164432000
-25.3494930267334,1729477164532000
-27.96127700805664,1729477164632000
-27.292945861816406,1729477164732000
-28.116289138793945,1729477164833000
-26.433124542236328,1729477164932000
-28.151233673095703,1729477165033000
-28.86590576171875,1729477165133000
-29.71305274963379,1729477165239000
-28.909744262695312,1729477165349000
-28.238475799560547,1729477165449999
-30.058195114135742,1729477165549000
-27.553014755249023,1729477165649000
-25.211824417114258,1729477165750000
-27.505014419555664,1729477165849999
-27.69795036315918,1729477165950000
-29.62248420715332,1729477166049999
-27.032960891723633,1729477166150000
-27.29231071472168,1729477166251000
-25.7735595703125,1729477166351000
-26.93596649169922,1729477166451000
-28.46915626525879,1729477166551000
-26.198501586914062,1729477166651000
-27.68935775756836,1729477166751000
-26.961408615112305,1729477166851000
-28.718490600585938,1729477166951000
-20.976964950561523,1729477167051000
-23.123851776123047,1729477167151000
-25.190292358398438,1729477167251000
-24.10784339904785,1729477167352000
-26.529401779174805,1729477167468000
-27.830366134643555,1729477167568000
-23.44335174560547,1729477167668000
-19.232667922973633,1729477167768000
-19.130281448364258,1729477167868000
-18.59745979309082,1729477167985000
-20.028240203857422,1729477168085000
-22.001863479614258,1729477168185000
-23.813451766967773,1729477168285000
-24.48865509033203,1729477168385999
-22.761777877807617,1729477168486000
-23.765581130981445,1729477168585999
-25.124420166015625,1729477168686000
-23.320016860961914,1729477168785999
-25.006921768188477,1729477168886000
-26.672025680541992,1729477168985999
-25.247589111328125,1729477169086000
-22.420644760131836,1729477169185999
-23.106611251831055,1729477169286000
-19.8172607421875,1729477169385999
-21.447214126586914,1729477169486000
-20.76442527770996,1729477169585999
-22.74286460876465,1729477169687000
-25.510149002075195,1729477169803000
-21.626110076904297,1729477169903000
-23.739953994750977,1729477170003000
-26.130115509033203,1729477170103000
-21.4195499420166,1729477170203000
-23.7692813873291,1729477170304000
-20.164228439331055,1729477170409000
-22.585086822509766,1729477170520000
-23.986888885498047,1729477170637000
-25.182126998901367,1729477170737000
-26.51233673095703,1729477170837000
-25.94561195373535,1729477170937999
-22.77426528930664,1729477171054000
-24.834014892578125,1729477171153999
-26.343265533447266,1729477171254000
-20.35167694091797,1729477171355000
-23.01116371154785,1729477171471000
-24.41478729248047,1729477171572000
-24.72372817993164,1729477171671000
-22.431062698364258,1729477171788000
-22.996009826660156,1729477171888000
-24.366321563720703,1729477171988000
-24.790599822998047,1729477172088000
-26.48218536376953,1729477172188000
-27.46967124938965,1729477172288000
-22.861574172973633,1729477172388000
-20.368032455444336,1729477172489000
-22.057497024536133,1729477172588000
-22.38844108581543,1729477172689000
-21.759153366088867,1729477172789000
-20.769533157348633,1729477172889000
-22.098472595214844,1729477172989000
-24.676738739013672,1729477173089000
-21.38344955444336,1729477173189000
-22.973020553588867,1729477173289000
-24.91460609436035,1729477173389000
-24.726308822631836,1729477173489000
-22.036935806274414,1729477173590000
-23.15023422241211,1729477173694000
-24.864343643188477,1729477173793999
-25.69084358215332,1729477173903000
-27.123512268066406,1729477174015000
-26.559459686279297,1729477174115000
-24.72861099243164,1729477174215000
-26.509166717529297,1729477174316000
-22.95682716369629,1729477174415000
-17.688095092773438,1729477174515000
-19.697269439697266,1729477174616000
-14.792547225952148,1729477174715000
-10.591911315917969,1729477174816000
-11.110218048095703,1729477174932000
-15.090360641479492,1729477175032000
-18.29425811767578,1729477175133000
-11.905403137207031,1729477175249000
-15.148423194885254,1729477175349000
-18.818099975585938,1729477175449000
-21.716468811035156,1729477175550000
-22.41323471069336,1729477175665999
-21.226917266845703,1729477175766000
-23.530698776245117,1729477175865999
-22.295366287231445,1729477175966000
-22.523616790771484,1729477176067000
-17.407917022705078,1729477176167000
-19.98124885559082,1729477176283000
-21.88703727722168,1729477176383000
-23.84299659729004,1729477176484000
-24.081581115722656,1729477176584000
-21.719863891601562,1729477176684000
-24.326478958129883,1729477176784000
-24.687746047973633,1729477176884000
-21.2099666595459,1729477176983000
-23.368072509765625,1729477177084000
-24.861574172973633,1729477177184000
