dBFS,time
-31.88790512084961,1729477449265999
-29.931440353393555,1729477449375000
-26.06037139892578,1729477449475000
-27.800081253051758,1729477449576000
-26.719486236572266,1729477449676000
-25.494335174560547,1729477449776000
-26.98413848876953,1729477449876000
-27.565635681152344,1729477449976000
-27.635343551635742,1729477450076000
-29.33743667602539,1729477450177999
-28.55815887451172,1729477450292000
-28.764787673950195,1729477450393000
-29.414663314819336,1729477450493000
-31.2460880279541,1729477450593000
-28.8929500579834,1729477450693000
-29.783946990966797,1729477450793000
-23.65428924560547,1729477450893000
-23.4837646484375,1729477450993000
-25.573301315307617,1729477451093000
-27.72002410888672,1729477451193999
-25.327260971069336,1729477451294000
-26.609512329101562,1729477451393999
-26.006940841674805,1729477451494000
-27.752634048461914,1729477451593999
-25.743528366088867,1729477451694000
-25.430498123168945,1729477451793999
-26.556472778320312,1729477451894000
-27.284610748291016,1729477451993999
-28.153656005859375,1729477452094000
-24.604515075683594,1729477452193999
-21.730392456054688,1729477452294000
-25.23122787475586,1729477452411000
-25.474597930908203,1729477452511000
-25.177385330200195,1729477452611000
-23.249696731567383,1729477452711000
-25.309471130371094,1729477452828000
-26.347917556762695,1729477452928000
-27.583173751831055,1729477453028000
-24.13896942138672,1729477453129000
-23.191783905029297,1729477453245000
-23.63035774230957,1729477453345000
-24.72976303100586,1729477453445000
-25.869779586791992,1729477453545000
-22.1428165435791,1729477453662000
-23.670124053955078,1729477453761999
-25.950164794921875,1729477453862000
-26.073835372924805,1729477453961999
-23.551559448242188,1729477454062000
-25.149377822875977,1729477454166000
-25.07172393798828,1729477454279000
-26.018766403198242,1729477454379000
-23.89042091369629,1729477454480000
-25.277355194091797,1729477454580000
-27.09044647216797,1729477454680000
-23.452896118164062,1729477454779000
-21.979642868041992,1729477454880000
-23.934675216674805,1729477454980000
-22.266061782836914,1729477455080000
-24.03042221069336,1729477455180000
-21.640016555786133,1729477455280000
-23.50869369506836,1729477455380000
-24.777742385864258,1729477455480000
-24.005348205566406,1729477455580000
-23.223352432250977,1729477455680000
-22.20907211303711,1729477455780000
-22.90380859375,1729477455881000
-25.275571823120117,1729477455980000
-24.885456085205078,1729477456080000
-21.513662338256836,1729477456181000
-20.27935791015625,1729477456280000
-22.32052993774414,1729477456387000
-23.79452896118164,1729477456497999
-19.975027084350586,1729477456598000
-22.519664764404297,1729477456697999
-23.2058048248291,1729477456798000
-23.63620948791504,1729477456897999
-23.639753341674805,1729477456998000
-21.2249755859375,1729477457097999
-23.117889404296875,1729477457198000
-24.393463134765625,1729477457297999
-20.079538345336914,1729477457398000
-21.989044189453125,1729477457499000
-23.86529541015625,1729477457599000
-25.36358642578125,1729477457699000
-21.26644515991211,1729477457799000
-21.994693756103516,1729477457899000
-22.071741104125977,1729477457999000
-19.123929977416992,1729477458099000
-21.606714248657227,1729477458199000
-23.01329803466797,1729477458299000
-23.21336555480957,1729477458399000
-22.974302291870117,1729477458500000
-23.614892959594727,1729477458599000
-20.620227813720703,1729477458699000
-21.59010887145996,1729477458800000
-22.00925636291504,1729477458900000
-23.000568389892578,1729477459000000
-23.5252685546875,1729477459100000
-23.677040100097656,1729477459205000
-23.85430335998535,1729477459317000
-17.125389099121094,1729477459417000
-18.68671417236328,1729477459517000
-21.749267578125,1729477459617000
-20.774349212646484,1729477459717000
-22.2866268157959,1729477459817000
-20.293745040893555,1729477459917000
-17.25337028503418,1729477460017000
-20.008413314819336,1729477460117000
-20.098894119262695,1729477460217000
-22.179452896118164,1729477460317000
-22.39794158935547,1729477460417000
-22.522457122802734,1729477460523000
-21.51774787902832,1729477460635000
-23.443397521972656,1729477460734000
-24.89504623413086,1729477460833999
-20.366016387939453,1729477460935000
-17.76074981689453,1729477461051000
-19.07809829711914,1729477461151000
-18.25328254699707,1729477461251000
-20.17169189453125,1729477461352000
-21.54167366027832,1729477461468000
-22.796043395996094,1729477461569000
-24.56134033203125,1729477461669000
-22.193347930908203,1729477461785000
-24.183353424072266,1729477461885000
-18.387176513671875,1729477461985000
-20.528244018554688,1729477462085000
-22.971099853515625,1729477462185999
-23.327102661132812,1729477462286000
-23.068456649780273,1729477462385999
-18.245269775390625,1729477462486000
-19.74706268310547,1729477462593000
