dBFS,time
-29.764467239379883,1729476333501000
-31.111310958862305,1729476333614000
-22.043691635131836,1729476333713999
-22.065462112426758,1729476333814000
-18.871875762939453,1729476333915000
-21.042299270629883,1729476334015000
-23.454870223999023,1729476334115000
-25.268245697021484,1729476334215000
-18.292085647583008,1729476334315000
-20.591571807861328,1729476334432000
-21.985393524169922,1729476334532000
-18.520816802978516,1729476334632000
-19.682357788085938,1729476334733000
-21.181501388549805,1729476334833000
-20.11128044128418,1729476334949000
-22.243133544921875,1729476335049000
-21.2576904296875,1729476335149000
-23.1574649810791,1729476335249000
-18.972576141357422,1729476335349000
-20.679555892944336,1729476335449000
-22.868459701538086,1729476335549000
-23.29022979736328,1729476335649999
-18.841318130493164,1729476335750000
-15.04172420501709,1729476335849999
-16.71590232849121,1729476335950000
-17.868783950805664,1729476336049999
-19.04122543334961,1729476336150000
-19.79901695251465,1729476336249999
-16.488327026367188,1729476336350000
-18.70551300048828,1729476336456000
-20.27659797668457,1729476336567000
-19.52375602722168,1729476336667000
-16.163070678710938,1729476336767000
-18.500850677490234,1729476336867000
-19.186861038208008,1729476336967000
-17.87887191772461,1729476337084000
-18.01293182373047,1729476337184000
-19.210538864135742,1729476337284000
-16.88744354248047,1729476337401000
-18.609342575073242,1729476337501000
-17.006284713745117,1729476337601000
-18.64730453491211,1729476337701000
-16.04378890991211,1729476337817999
-18.87003517150879,1729476337918000
-17.051237106323242,1729476338017999
-19.049619674682617,1729476338118000
-19.345190048217773,1729476338217999
-20.441823959350586,1729476338335000
-21.521331787109375,1729476338435000
-18.332124710083008,1729476338535000
-18.64649772644043,1729476338635000
-18.775148391723633,1729476338752000
-19.32096290588379,1729476338852000
-20.28416633605957,1729476338952000
-18.0584659576416,1729476339052000
-17.749876022338867,1729476339169000
-17.56926727294922,1729476339269000
-15.82455825805664,1729476339369000
-16.01360511779785,1729476339486000
-17.80097770690918,1729476339585999
-16.383068084716797,1729476339686000
-17.893531799316406,1729476339785999
-18.318227767944336,1729476339886000
-16.851289749145508,1729476339985999
-19.023090362548828,1729476340086000
-19.01679039001465,1729476340185999
-18.723661422729492,1729476340287000
-18.445783615112305,1729476340387000
-20.896255493164062,1729476340486000
-22.705951690673828,1729476340592000
-20.298213958740234,1729476340704000
-21.112903594970703,1729476340804000
-21.527938842773438,1729476340904000
-18.000173568725586,1729476341004000
-19.757570266723633,1729476341104000
-17.382434844970703,1729476341205000
-18.721067428588867,1729476341304000
-20.796886444091797,1729476341404000
-20.522201538085938,1729476341504000
-17.94971466064453,1729476341604000
-14.170549392700195,1729476341704000
-17.347061157226562,1729476341821000
-19.26674461364746,1729476341921000
-20.426986694335938,1729476342021000
-17.51947593688965,1729476342137999
-19.33962059020996,1729476342238000
-19.647232055664062,1729476342337999
-21.814237594604492,1729476342438000
-16.207292556762695,1729476342555000
-14.03674602508545,1729476342661000
-7.252538681030273,1729476342772000
-9.825453758239746,1729476342872000
-12.771020889282227,1729476342972000
-16.077213287353516,1729476343072000
-18.114604949951172,1729476343172000
-17.890941619873047,1729476343272000
-19.796594619750977,1729476343389000
-19.8614559173584,1729476343489000
-19.92217254638672,1729476343589000
-15.321718215942383,1729476343695000
-18.173656463623047,1729476343806000
-16.497705459594727,1729476343905999
-18.9915828704834,1729476344006000
-21.27153778076172,1729476344105999
-18.332801818847656,1729476344223000
-20.22946548461914,1729476344323000
-21.090749740600586,1729476344423000
-22.926761627197266,1729476344523000
-18.486881256103516,1729476344623000
-21.34477424621582,1729476344740000
-19.1430606842041,1729476344840000
-20.352439880371094,1729476344940000
-21.73118782043457,1729476345040000
-22.765125274658203,1729476345140000
-23.040781021118164,1729476345240000
-17.183286666870117,1729476345341000
-18.492170333862305,1729476345441000
-18.499431610107422,1729476345541000
-18.30463409423828,1729476345641000
-15.592302322387695,1729476345741000
-17.230932235717773,1729476345841000
-19.75224494934082,1729476345941000
-21.515485763549805,1729476346041000
-19.915538787841797,1729476346141000
-13.264009475708008,1729476346241000
-8.419102668762207,1729476346342000
-11.133526802062988,1729476346443000
-9.115058898925781,1729476346541000
-6.787374973297119,1729476346641999
-9.822178840637207,1729476346742000
-10.710667610168457,1729476346841999
-10.312870025634766,1729476346944000
-13.313004493713379,1729476347044000
-6.088301181793213,1729476347144000
-10.01790714263916,1729476347243000
-11.815832138061523,1729476347359000
-10.521366119384766,1729476347459000
-8.827457427978516,1729476347559000
-10.309324264526367,1729476347659000
-14.404264450073242,1729476347759000
-16.778423309326172,1729476347860000
-18.193571090698242,1729476347959000
-20.62079429626465,1729476348060000
-15.964536666870117,1729476348161000
-11.624662399291992,1729476348261000
-15.229744911193848,1729476348361999
-17.750404357910156,1729476348461000
-19.508071899414062,1729476348561999
-17.973840713500977,1729476348662000
-15.940594673156738,1729476348761999
-18.769227981567383,1729476348862000
-19.28255844116211,1729476349044000
-15.405130386352539,1729476349145000
-12.300500869750977,1729476349246000
-10.793435096740723,1729476349345999
-12.837190628051758,1729476349446000
-13.57699203491211,1729476349545999
-14.579025268554688,1729476349648000
-14.52372932434082,1729476349753000
-17.991853713989258,1729476349857999
-14.771561622619629,1729476349966000
-6.48608922958374,1729476350063000
-4.427801609039307,1729476350164000
-2.223747491836548,1729476350263000
-5.065329074859619,1729476350363000
-8.135576248168945,1729476350463000
-9.403863906860352,1729476350565000
-12.148052215576172,1729476350665999
-15.129467010498047,1729476350771000
-12.067864418029785,1729476350871000
-8.974617958068848,1729476350976000
-2.0256786346435547,1729476351081000
-4.0704522132873535,1729476351185000
-7.362684726715088,1729476351286000
-9.113275527954102,1729476351385999
-6.319414138793945,1729476351489999
-7.770132541656494,1729476351595000
-11.601995468139648,1729476351696000
-9.759151458740234,1729476351797000
-11.576112747192383,1729476351900000
-13.01046371459961,1729476352001999
-4.945911884307861,1729476352103000
-7.515627384185791,1729476352207000
-9.479391098022461,1729476352312000
-11.084961891174316,1729476352417000
-5.024765491485596,1729476352519000
-8.453045845031738,1729476352619000
-10.709097862243652,1729476352721000
-11.717668533325195,1729476352822000
-13.96064567565918,1729476352927000
-16.938636779785156,1729476353031000
-17.59646987915039,1729476353136000
-13.05715560913086,1729476353241000
-3.6094024181365967,1729476353345000
-6.896027565002441,1729476353449999
-9.59406566619873,1729476353552000
-11.102148056030273,1729476353652000
-13.333878517150879,1729476353757000
-10.862699508666992,1729476353862000
-5.593628406524658,1729476353967000
-6.225629806518555,1729476354069000
-5.3103508949279785,1729476354174000
-4.498291969299316,1729476354279000
-5.463652610778809,1729476354384000
-7.257411003112793,1729476354485000
-4.9029221534729,1729476354585000
-6.297425746917725,1729476354686000
-8.323203086853027,1729476354785000
-8.735153198242188,1729476354889000
-7.448873043060303,1729476354993000
-10.417580604553223,1729476355099000
-10.6400146484375,1729476355204000
-6.427809715270996,1729476355305000
-8.625371932983398,1729476355411000
-11.093850135803223,1729476355512000
-7.851037979125977,1729476355617000
-7.23403263092041,1729476355721999
-9.761186599731445,1729476355822000
-7.974160671234131,1729476355927000
-8.188812255859375,1729476356032000
-6.287302017211914,1729476356137000
-7.354142189025879,1729476356240000
-5.99680233001709,1729476356340000
-8.85699462890625,1729476356440000
-12.068381309509277,1729476356542000
-13.408449172973633,1729476356646000
-14.67233657836914,1729476356751000
-16.44134521484375,1729476356857000
-10.778575897216797,1729476356959000
-13.311894416809082,1729476357064000
-14.116108894348145,1729476357169999
-13.141361236572266,1729476357273000
-15.771562576293945,1729476357379000
-9.541372299194336,1729476357483000
-13.352588653564453,1729476357588000
-12.410478591918945,1729476357691000
-5.771545886993408,1729476357795000
