z,y,x,time
-0.764068603515625,-0.5646209716796875,-0.170623779296875,1727793982162678
-0.7865142822265625,-0.56494140625,-0.159393310546875,1727793982172684
-0.8061370849609375,-0.5574798583984375,-0.15185546875,1727793982182689
-0.814453125,-0.5489044189453125,-0.1502227783203125,1727793982192694
-0.8079833984375,-0.5396270751953125,-0.1575164794921875,1727793982202699
-0.8044586181640625,-0.5348968505859375,-0.17559814453125,1727793982212704
-0.8168792724609375,-0.53607177734375,-0.197509765625,1727793982222710
-0.8267669677734375,-0.5397186279296875,-0.2103118896484375,1727793982232715
-0.8338470458984375,-0.5465240478515625,-0.206756591796875,1727793982242720
-0.83367919921875,-0.55120849609375,-0.197479248046875,1727793982252725
-0.8233795166015625,-0.5501861572265625,-0.1923675537109375,1727793982262730
-0.8137359619140625,-0.5533294677734375,-0.200042724609375,1727793982272736
-0.808013916015625,-0.56158447265625,-0.2150421142578125,1727793982282741
-0.802703857421875,-0.567291259765625,-0.2237701416015625,1727793982292746
-0.7983856201171875,-0.5623321533203125,-0.2259521484375,1727793982302751
-0.804931640625,-0.5566253662109375,-0.2243194580078125,1727793982312756
-0.8144378662109375,-0.548736572265625,-0.2173614501953125,1727793982322762
-0.8168792724609375,-0.5369110107421875,-0.200225830078125,1727793982332767
-0.8329925537109375,-0.541656494140625,-0.1949310302734375,1727793982342772
-0.8303985595703125,-0.5469818115234375,-0.2019500732421875,1727793982352777
-0.8318634033203125,-0.54339599609375,-0.20013427734375,1727793982362782
-0.8356170654296875,-0.544219970703125,-0.1994781494140625,1727793982372788
-0.8369140625,-0.5466461181640625,-0.197235107421875,1727793982382793
-0.83026123046875,-0.5479736328125,-0.19366455078125,1727793982392798
-0.81170654296875,-0.5399627685546875,-0.1859588623046875,1727793982402803
-0.815826416015625,-0.553131103515625,-0.198944091796875,1727793982412808
-0.806182861328125,-0.559051513671875,-0.2074737548828125,1727793982422814
-0.8126068115234375,-0.536895751953125,-0.189178466796875,1727793982432820
-0.803558349609375,-0.5388946533203125,-0.1851043701171875,1727793982442825
-0.8280181884765625,-0.542755126953125,-0.1853790283203125,1727793982452830
-0.8176116943359375,-0.560882568359375,-0.2022857666015625,1727793982462835
-0.8478546142578125,-0.572723388671875,-0.208984375,1727793982472840
-0.84808349609375,-0.5710601806640625,-0.209747314453125,1727793982482845
-0.839263916015625,-0.5418853759765625,-0.1923980712890625,1727793982492850
-0.8131256103515625,-0.5089263916015625,-0.168182373046875,1727793982502855
-0.8130340576171875,-0.4904937744140625,-0.16650390625,1727793982512861
-0.8039703369140625,-0.498199462890625,-0.1811370849609375,1727793982522867
-0.7843017578125,-0.507110595703125,-0.1887054443359375,1727793982532872
-0.771881103515625,-0.536529541015625,-0.18896484375,1727793982542877
-0.7931060791015625,-0.5702362060546875,-0.180145263671875,1727793982552882
-0.8063507080078125,-0.59100341796875,-0.1727752685546875,1727793982562888
-0.80572509765625,-0.6080169677734375,-0.169647216796875,1727793982572893
-0.805877685546875,-0.63134765625,-0.181060791015625,1727793982582898
-0.797332763671875,-0.6578826904296875,-0.205322265625,1727793982592903
-0.7685394287109375,-0.686737060546875,-0.2379608154296875,1727793982602908
-0.731964111328125,-0.69708251953125,-0.2558746337890625,1727793982612914
-0.691619873046875,-0.6664581298828125,-0.2330474853515625,1727793982622919
-0.6753692626953125,-0.6429290771484375,-0.2144317626953125,1727793982632924
-0.67681884765625,-0.637054443359375,-0.2078094482421875,1727793982642929
-0.701629638671875,-0.62548828125,-0.1972808837890625,1727793982652934
-0.7454681396484375,-0.6096038818359375,-0.1826934814453125,1727793982662940
-0.7987823486328125,-0.5913848876953125,-0.1561431884765625,1727793982672945
-0.82574462890625,-0.5712432861328125,-0.1310272216796875,1727793982682950
-0.804412841796875,-0.5644378662109375,-0.1197509765625,1727793982692955
-0.7568359375,-0.5903472900390625,-0.122406005859375,1727793982702960
-0.679412841796875,-0.619293212890625,-0.1476898193359375,1727793982712966
-0.6181488037109375,-0.635650634765625,-0.1516876220703125,1727793982722971
-0.60595703125,-0.6600341796875,-0.0833892822265625,1727793982732976
-0.5857086181640625,-0.6882476806640625,-0.0894927978515625,1727793982742981
-0.5924224853515625,-0.7159423828125,-0.13262939453125,1727793982752986
-0.622283935546875,-0.7196502685546875,-0.1584014892578125,1727793982762992
-0.66119384765625,-0.7068634033203125,-0.1733856201171875,1727793982772997
-0.7166900634765625,-0.6855621337890625,-0.199951171875,1727793982783002
-0.74542236328125,-0.6916656494140625,-0.23773193359375,1727793982793007
-0.74322509765625,-0.6858978271484375,-0.23663330078125,1727793982803012
-0.7339630126953125,-0.6774139404296875,-0.2356719970703125,1727793982813018
-0.72222900390625,-0.6490936279296875,-0.191070556640625,1727793982823023
-0.707275390625,-0.62799072265625,-0.1494293212890625,1727793982833028
-0.692962646484375,-0.6249847412109375,-0.118865966796875,1727793982843033
