dBFS,time
-27.871280670166016,1729476758398000
-22.347951889038086,1729476758505000
-23.526723861694336,1729476758606000
-21.142301559448242,1729476758705999
-19.38323211669922,1729476758806000
-18.527647018432617,1729476758905999
-20.374425888061523,1729476759006000
-21.56065559387207,1729476759105999
-22.626235961914062,1729476759207000
-21.34244155883789,1729476759323000
-19.35481071472168,1729476759423000
-20.062185287475586,1729476759523000
-20.63504409790039,1729476759623000
-20.067344665527344,1729476759723000
-21.19452476501465,1729476759823000
-21.491069793701172,1729476759940000
-22.684335708618164,1729476760040000
-17.569643020629883,1729476760140000
-18.421432495117188,1729476760240000
-19.993377685546875,1729476760357000
-16.504446029663086,1729476760457000
-16.494550704956055,1729476760557000
-18.384185791015625,1729476760657000
-19.277469635009766,1729476760757000
-18.530778884887695,1729476760873999
-18.238388061523438,1729476760974000
-20.3315372467041,1729476761073999
-18.542688369750977,1729476761174000
-14.621996879577637,1729476761273999
-15.424946784973145,1729476761374000
-15.422297477722168,1729476761473999
-12.582820892333984,1729476761574000
-14.287336349487305,1729476761675000
-15.847380638122559,1729476761775000
-16.1965274810791,1729476761875000
-12.9470853805542,1729476761975000
-15.056782722473145,1729476762075000
-15.124676704406738,1729476762175000
-15.840883255004883,1729476762275000
-15.707742691040039,1729476762375000
-15.143044471740723,1729476762492000
-12.851481437683105,1729476762592000
-14.71532154083252,1729476762692000
-15.235455513000488,1729476762792000
-13.330507278442383,1729476762909000
-15.48056697845459,1729476763009000
-16.35479164123535,1729476763109000
-17.454450607299805,1729476763209000
-14.347954750061035,1729476763309000
-16.13874053955078,1729476763409000
-15.512513160705566,1729476763509000
-14.82730484008789,1729476763609000
-15.947039604187012,1729476763709000
-11.992241859436035,1729476763809000
-14.147590637207031,1729476763910000
-15.508895874023438,1729476764009999
-15.748520851135254,1729476764110000
-16.88599967956543,1729476764209999
-17.116165161132812,1729476764310000
-15.635358810424805,1729476764416000
-16.363834381103516,1729476764527000
-14.327191352844238,1729476764627000
-16.632999420166016,1729476764727000
-17.025135040283203,1729476764827000
-14.772978782653809,1729476764927000
-15.918359756469727,1729476765027000
-16.051753997802734,1729476765144000
-14.780487060546875,1729476765244000
-16.34872055053711,1729476765345000
-14.11520767211914,1729476765461000
-13.53370189666748,1729476765561000
-15.02137279510498,1729476765661000
-17.010934829711914,1729476765761000
-13.802569389343262,1729476765861000
-15.491164207458496,1729476765977999
-14.724851608276367,1729476766078000
-13.30556583404541,1729476766177999
-15.245222091674805,1729476766278000
-15.8792142868042,1729476766379000
-16.46114158630371,1729476766481999
-18.49305534362793,1729476766595000
-12.95008659362793,1729476766695000
-15.605021476745605,1729476766812000
-17.726112365722656,1729476766912000
-14.739344596862793,1729476767012000
-16.385465621948242,1729476767112000
-14.328350067138672,1729476767229000
-16.784809112548828,1729476767329000
-17.097198486328125,1729476767429000
-15.58419132232666,1729476767545999
-13.587240219116211,1729476767646000
-15.924729347229004,1729476767745999
-15.480257034301758,1729476767846000
-16.965375900268555,1729476767945999
-14.035449028015137,1729476768046000
-16.558910369873047,1729476768145999
-14.720824241638184,1729476768246000
-16.453529357910156,1729476768345999
-15.486563682556152,1729476768446000
-17.352420806884766,1729476768552000
-16.988109588623047,1729476768664000
-14.749979972839355,1729476768764000
-16.287113189697266,1729476768864000
-16.30028533935547,1729476768964000
-16.91847038269043,1729476769064000
-14.785699844360352,1729476769164000
-17.191871643066406,1729476769264000
-11.508587837219238,1729476769364000
-14.18050479888916,1729476769464000
-16.092397689819336,1729476769564000
-17.163066864013672,1729476769664000
-15.068460464477539,1729476769781000
-13.2623291015625,1729476769881000
-14.358135223388672,1729476769981000
-13.214757919311523,1729476770081000
-13.987136840820312,1729476770181000
-16.119029998779297,1729476770297999
-13.312482833862305,1729476770398000
-15.23544692993164,1729476770497999
-16.93792724609375,1729476770598000
-14.555148124694824,1729476770697999
-16.305418014526367,1729476770799000
-17.01785659790039,1729476770899000
-18.225704193115234,1729476770999000
-14.828557014465332,1729476771099000
-16.654796600341797,1729476771199000
-17.021240234375,1729476771299000
-17.338916778564453,1729476771399000
-13.576446533203125,1729476771499000
-14.257796287536621,1729476771599000
-15.813440322875977,1729476771699000
-16.612117767333984,1729476771816000
-16.14948272705078,1729476771916000
-16.726266860961914,1729476772016000
-13.931550979614258,1729476772116000
-15.047016143798828,1729476772216000
-12.687129020690918,1729476772333000
-14.747008323669434,1729476772433000
-14.434062004089355,1729476772533000
-15.443184852600098,1729476772633000
-16.863693237304688,1729476772750000
-16.129817962646484,1729476772849999
-17.126657485961914,1729476772953000
-16.129199981689453,1729476773049999
-15.33614444732666,1729476773150000
-12.6881742477417,1729476773249999
-14.584161758422852,1729476773350000
-14.31484603881836,1729476773451000
-15.921143531799316,1729476773550000
-17.871782302856445,1729476773649999
-17.086162567138672,1729476773751000
-16.727140426635742,1729476773851000
-18.070716857910156,1729476773951000
-13.843141555786133,1729476774051000
-14.991482734680176,1729476774151000
-16.10205841064453,1729476774251000
-16.307308197021484,1729476774351000
-15.16546630859375,1729476774451000
-15.894275665283203,1729476774551000
-16.638193130493164,1729476774652000
-15.713495254516602,1729476774758000
-17.257476806640625,1729476774868000
-15.387533187866211,1729476774968000
-10.300812721252441,1729476775068000
-13.24824333190918,1729476775169000
-14.679981231689453,1729476775269000
-15.628568649291992,1729476775369000
-15.955293655395508,1729476775469000
-16.061296463012695,1729476775569000
-17.156591415405273,1729476775669000
-16.344886779785156,1729476775769000
-16.79911994934082,1729476775869000
-17.924161911010742,1729476775969000
-17.989028930664062,1729476776069000
-16.8678035736084,1729476776185999
-17.51912498474121,1729476776286000
-17.86067008972168,1729476776387000
